Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
840000,14.593737,0.000832973,-0.6987954830048514,164.36065573770492,3.0807512,-0.6906315878522201,0.080835484,-3.151308,0.038314205,0.03819465,0.004690257
850000,14.699368,0.000830915,-0.8078804860512415,136.34722222222223,3.031785,-0.8086362741887569,0.090129375,-3.0807421,0.04359355,0.042877406,0.0045456216
860000,14.650383,0.00082916796,-0.6508718773461225,175.3859649122807,2.952108,-0.6400913411849424,0.088746116,-2.9948766,0.042447757,0.041512795,0.0043420265
870000,14.661072,0.00082703563,-0.5870505551574752,157.390625,2.8536928,-0.5997005741810426,0.07834747,-2.8995228,0.03725291,0.03700673,0.0041258913
880000,14.631175,0.0008250884,-0.5696389511227608,164.83333333333334,2.7933936,-0.5770861953496933,0.07733339,-2.8195581,0.03703305,0.03679175,0.003939177
890000,14.648944,0.00082297495,-0.6434391512204025,165.9322033898305,2.7139978,-0.6472161874427633,0.07567127,-2.7341824,0.03609364,0.036053743,0.0037437556
900000,14.620357,0.00082098343,-0.586376174795823,165.72131147540983,2.6132262,-0.5762785754975726,0.06757979,-2.6577246,0.03134917,0.031507343,0.0035683203
910000,14.597171,0.0008191134,-0.6085652451290459,161.47540983606558,2.552467,-0.6026579665600277,0.059021667,-2.5798535,0.02800476,0.028349923,0.0034099065
920000,14.525786,0.0008170039,-0.6395323414538727,163.9344262295082,2.447806,-0.6260308178721882,0.05711571,-2.490872,0.026939549,0.026838548,0.0032254853
930000,14.554727,0.00081484363,-0.696289582321277,150.72307692307692,2.4012153,-0.7213101225403639,0.05197523,-2.4045117,0.024914432,0.024881417,0.0030540016
940000,14.519139,0.00081301376,-0.7017352813711533,156.26153846153846,2.3107579,-0.6976008505775378,0.053760387,-2.3227386,0.02556477,0.025331916,0.002894022
950000,14.4696665,0.0008110174,-0.8126292200898056,145.19402985074626,2.2410426,-0.7996360797490647,0.04967523,-2.2471313,0.023576094,0.023189157,0.0027487741
960000,14.501912,0.0008090053,-0.7577970409622559,152.96923076923076,2.172094,-0.7710380902657142,0.046937454,-2.1759114,0.02228873,0.022294527,0.0026129943
970000,14.46637,0.00080703595,-0.7551189999082195,148.88059701492537,2.1240208,-0.757073148306626,0.04721253,-2.1228633,0.022438625,0.022194576,0.0025105928
980000,14.421863,0.0008051561,-0.7683123840202748,139.46478873239437,2.0696292,-0.768022247078553,0.044247452,-2.0757666,0.021139106,0.021104166,0.002423162
990000,14.4380045,0.0008030476,-0.7304339055781779,144.63768115942028,1.9964566,-0.726172389111657,0.049918048,-2.0089867,0.023396252,0.023618832,0.0023061913
1000000,14.416345,0.0008010461,-0.7121967269728581,139.52777777777777,1.9113222,-0.7181914059652222,0.044605806,-1.9297642,0.020970725,0.021036621,0.0021700046
1010000,14.347146,0.0007990047,-0.5724276672985594,165.22033898305085,1.8549241,-0.5690292370016292,0.044614285,-1.85831,0.021575583,0.021290576,0.0020542333
1020000,14.268845,0.00079691573,-0.6789269965374842,156.90625,1.7753205,-0.6567657510749996,0.04104565,-1.786032,0.019603536,0.019614138,0.0019399766
1030000,14.293454,0.0007950705,-0.5494188079910893,159.01612903225808,1.6823878,-0.5578544589300309,0.04398662,-1.718735,0.020770164,0.020823121,0.001839464
1040000,14.284332,0.00079288747,-0.7116920991102234,155.171875,1.6627257,-0.7247831850545481,0.0391791,-1.6654899,0.018478822,0.018422095,0.001760429
1050000,14.289691,0.0007909233,-0.5924181399806854,159.70967741935485,1.5887424,-0.5789120520555204,0.03578881,-1.6096942,0.017098451,0.017103685,0.0016798652
1060000,14.14329,0.0007888955,-0.6060544033463184,153.0,1.5612098,-0.6060136422514916,0.037101198,-1.566108,0.017452689,0.017097043,0.0016198156
1070000,14.172627,0.0007869348,-0.6317762999580456,153.53846153846155,1.527425,-0.6509164558007167,0.034826186,-1.5352378,0.016682705,0.016408516,0.0015759475
1080000,14.133669,0.0007850228,-0.6675253070998883,145.7391304347826,1.5004107,-0.6601500038219534,0.031222874,-1.5049893,0.014510214,0.014396399,0.0015303332
1090000,14.12021,0.00078291213,-0.5865124972504482,174.89473684210526,1.4417183,-0.5977293117004528,0.031036558,-1.4682066,0.014802513,0.014450015,0.0014803386
1100000,14.065979,0.0007809858,-0.6658936417144206,137.375,1.409907,-0.662393869418237,0.030001827,-1.4274638,0.013875056,0.013655464,0.0014249865
1110000,13.969417,0.00077905535,-0.662411172220956,146.4179104477612,1.3600558,-0.6602503454952098,0.029728914,-1.3790952,0.014325713,0.0142759215,0.0013598949
1120000,13.984673,0.0007769103,-0.75846396693412,146.97058823529412,1.3445759,-0.7482102846398073,0.03009643,-1.334812,0.01337968,0.01338543,0.0013017541
1130000,13.779319,0.0007750546,-0.6287892785283827,158.7741935483871,1.2925277,-0.6348686416543299,0.02650014,-1.2997099,0.012339933,0.012416163,0.0012563602
1140000,13.820416,0.0007730345,-0.7932562162758598,141.88732394366198,1.2439263,-0.7828706958464213,0.028251838,-1.2575895,0.01336223,0.013352911,0.0012052703
1150000,13.768082,0.00077112694,-0.8680566458829811,140.05714285714285,1.2001827,-0.863610489057823,0.027208049,-1.2107944,0.012858229,0.012851666,0.001147607
